timestamp,VendorID,VendorCountry,VendorStateProvince,productId,product_name,categoryId,price,quantity
2025-10-09T07:08:09.385322,9446,South Africa,KwaZulu-Natal,MB-AG-G02,Halo Infinite,ACTION,64.24,4
2025-10-09T07:10:16.381927,7213,Japan,Tokyo,SF-BUD-G02,The Sims 5,SIMULATION,54.41,5
2025-10-09T07:10:21.385941,7294,Japan,Kyoto,MB-AC-004,Gaming Mouse,accessories,53.07,4
2025-10-09T07:15:00.385987,7007,Japan,Tokyo,WC-SH-G03,Manganiello Bros.,STRATEGY,32.64,5
2025-10-09T07:18:11.382841,7910,China,Guangdong,MB-AC-004,Gaming Mouse,accessories,54.82,2
2025-10-09T07:20:02.381801,3671,Canada,Quebec,SF-BUD-G01,Grand Theft Scooter,SIMULATION,43.39,4
2025-10-09T07:20:10.386617,5395,Germany,Bavaria,MB-AG-G04,Assassin's Creed,ACTION,49.65,5
2025-10-09T07:23:57.389816,7088,Japan,Kyoto,MB-AG-G03,Call of Duty,ACTION,69.79,2
2025-10-09T07:25:01.383421,7300,Japan,Tokyo,FS-FGA-G03,NBA 2K24,SPORTS,65.19,4
2025-10-09T07:26:01.381433,3627,Canada,Ontario,WC-SH-G05,Total War: Warhammer,STRATEGY,64.15,3
2025-10-09T07:26:07.391941,9110,South Africa,Gauteng,MB-AG-G03,Call of Duty,ACTION,65.53,1
2025-10-09T07:29:30.393329,5064,Germany,Bavaria,WC-SH-G04,Command & Conquer,STRATEGY,53.44,5
2025-10-09T07:34:21.393451,5665,France,Provence,WC-SH-G03,Manganiello Bros.,STRATEGY,28.12,2
2025-10-09T07:35:36.384673,6585,UK,Scotland,MB-AC-001,Gaming Headset,accessories,74.1,4
2025-10-09T07:38:10.382156,7106,Japan,Osaka,WC-SH-G04,Command & Conquer,STRATEGY,49.73,2
2025-10-09T07:38:18.389710,6110,Italy,Lombardy,WC-SH-G04,Command & Conquer,STRATEGY,51.05,3
2025-10-09T07:38:38.390361,7288,Japan,Tokyo,WC-SH-G02,World of Cheese,STRATEGY,24.26,3
2025-10-09T07:38:56.390041,8216,Australia,Victoria,SF-BUD-G03,Cities: Skylines,SIMULATION,32.7,3
2025-10-09T07:39:57.382610,6929,UK,Wales,WC-SH-G03,Manganiello Bros.,STRATEGY,30.55,3
2025-10-09T07:41:07.386641,5706,France,Aquitaine,MB-AG-G02,Halo Infinite,ACTION,62.09,3
2025-10-09T07:43:27.389861,8633,Brazil,Rio de Janeiro,MB-AC-002,Wireless Controller,accessories,60.55,4
2025-10-09T07:44:18.384485,7561,China,Shanghai,FS-FGA-G03,NBA 2K24,SPORTS,59.41,3
2025-10-09T07:45:40.383542,8382,Australia,Victoria,FS-FGA-G03,NBA 2K24,SPORTS,57.63,5
2025-10-09T07:47:05.390338,7036,Japan,Osaka,MB-AC-003,Gaming Keyboard,accessories,119.67,3
2025-10-09T07:47:34.387067,9122,South Africa,Gauteng,FS-FGA-G01,Madden NFL,SPORTS,63.37,5
2025-10-09T07:48:04.392370,8593,Brazil,Rio de Janeiro,FS-FGA-G02,FIFA 24,SPORTS,60.45,2
2025-10-09T07:49:06.384552,4057,Mexico,Jalisco,MB-AC-001,Gaming Headset,accessories,72.77,5
2025-10-09T07:50:03.383536,7130,Japan,Kyoto,WC-SH-G01,Mediocre Kingdoms,STRATEGY,36.45,5
2025-10-09T07:51:07.393376,1702,USA,Florida,FS-FGA-G02,FIFA 24,SPORTS,54.09,3
2025-10-09T07:55:33.392557,7467,Japan,Kyoto,MB-AG-G03,Call of Duty,ACTION,69.85,2
2025-10-09T07:55:42.389352,5169,Germany,Bavaria,FS-FGA-G01,Madden NFL,SPORTS,60.82,5
2025-10-09T07:58:15.386179,6475,Italy,Lombardy,FS-FGA-G01,Madden NFL,SPORTS,57.31,2
2025-10-09T07:58:16.389898,5388,Germany,Berlin,SF-BUD-G04,Flight Simulator,SIMULATION,61.86,4
2025-10-09T07:58:59.387190,5830,France,Provence,WC-SH-G02,World of Cheese,STRATEGY,24.98,5
2025-10-09T07:59:54.383625,6060,Italy,Lombardy,WC-SH-G03,Manganiello Bros.,STRATEGY,27.78,1
2025-10-09T08:00:32.384171,6613,UK,Scotland,FS-FGA-G01,Madden NFL,SPORTS,57.64,2
2025-10-09T08:06:58.389832,8011,Australia,Queensland,WC-SH-G01,Mediocre Kingdoms,STRATEGY,37.17,2
2025-10-09T08:07:22.389379,7655,China,Shanghai,MB-AG-G02,Halo Infinite,ACTION,64.24,4
2025-10-09T08:07:23.383783,6514,UK,England,WC-SH-G04,Command & Conquer,STRATEGY,45.2,2
2025-10-09T08:09:32.387698,8566,Brazil,Rio de Janeiro,SF-BUD-G03,Cities: Skylines,SIMULATION,32.5,2
2025-10-09T08:12:26.392365,6867,UK,Scotland,WC-SH-G01,Mediocre Kingdoms,STRATEGY,39.24,2
2025-10-09T08:16:10.389030,6463,Italy,Tuscany,MB-AC-003,Gaming Keyboard,accessories,140.41,2
2025-10-09T08:16:18.392083,8612,Brazil,São Paulo,FS-FGA-G02,FIFA 24,SPORTS,63.97,4
2025-10-09T08:21:12.384247,3014,Canada,Ontario,SF-BUD-G01,Grand Theft Scooter,SIMULATION,40.86,1
2025-10-09T08:23:52.389694,5055,Germany,Hamburg,MB-AC-002,Wireless Controller,accessories,58.58,4
2025-10-09T08:29:01.386912,7371,Japan,Kyoto,WC-SH-G02,World of Cheese,STRATEGY,23.12,1
2025-10-09T08:30:36.393829,9154,South Africa,Gauteng,SF-BUD-G03,Cities: Skylines,SIMULATION,30.11,4
2025-10-09T08:32:35.383962,3677,Canada,Ontario,SF-BUD-G02,The Sims 5,SIMULATION,45.39,4
2025-10-09T08:33:47.388519,5199,Germany,Bavaria,MB-AC-002,Wireless Controller,accessories,61.12,5
2025-10-09T08:34:14.391130,9849,South Africa,Gauteng,WC-SH-G05,Total War: Warhammer,STRATEGY,54.96,3
2025-10-09T08:40:03.389211,6700,UK,Scotland,MB-AC-005,Mouse Pad,accessories,19.28,2
2025-10-09T08:43:47.381860,9892,South Africa,KwaZulu-Natal,MB-AC-004,Gaming Mouse,accessories,54.56,2
2025-10-09T08:45:05.381838,6105,Italy,Lombardy,FS-FGA-G03,NBA 2K24,SPORTS,58.57,3
2025-10-09T08:46:19.390420,7441,Japan,Kyoto,MB-AC-005,Mouse Pad,accessories,18.01,5
2025-10-09T08:48:10.391099,7483,Japan,Tokyo,FS-FGA-G01,Madden NFL,SPORTS,61.9,1
2025-10-09T08:48:42.383218,5842,France,Île-de-France,MB-AC-002,Wireless Controller,accessories,57.1,2
2025-10-09T08:50:02.384204,3248,Canada,Alberta,FS-FGA-G03,NBA 2K24,SPORTS,61.28,4
2025-10-09T08:50:33.387485,6122,Italy,Tuscany,WC-SH-G03,Manganiello Bros.,STRATEGY,31.75,5
2025-10-09T08:51:45.391182,6726,UK,Scotland,MB-AC-004,Gaming Mouse,accessories,53.13,2
2025-10-09T08:52:05.387016,6859,UK,Wales,WC-SH-G01,Mediocre Kingdoms,STRATEGY,38.61,1
2025-10-09T08:52:36.387912,9126,South Africa,Western Cape,FS-FGA-G02,FIFA 24,SPORTS,54.86,3
2025-10-09T08:55:04.390038,4195,Mexico,Mexico City,MB-AC-001,Gaming Headset,accessories,74.61,1
2025-10-09T08:55:12.386961,5742,France,Île-de-France,MB-AC-004,Gaming Mouse,accessories,50.7,3
2025-10-09T08:55:48.381162,6808,UK,Wales,MB-AG-G01,Shrek Soccer,ACTION,16.24,5
2025-10-09T08:57:36.384917,4732,Mexico,Nuevo León,SF-BUD-G02,The Sims 5,SIMULATION,46.1,1
2025-10-09T08:57:45.390618,3269,Canada,Ontario,SF-BUD-G03,Cities: Skylines,SIMULATION,29.52,3
2025-10-09T08:57:52.392760,6330,Italy,Tuscany,MB-AC-002,Wireless Controller,accessories,62.94,4
2025-10-09T08:57:58.382451,7643,China,Shanghai,MB-AG-G03,Call of Duty,ACTION,69.85,2
2025-10-09T08:59:05.390432,4913,Mexico,Mexico City,MB-AG-G01,Shrek Soccer,ACTION,16.29,5
2025-10-09T08:59:42.385087,6738,UK,England,MB-AC-005,Mouse Pad,accessories,20.75,2
2025-10-09T09:00:30.387065,6840,UK,England,SF-BUD-G03,Cities: Skylines,SIMULATION,32.1,4
2025-10-09T09:03:48.383292,9621,South Africa,Gauteng,FS-FGA-G02,FIFA 24,SPORTS,64.68,2
2025-10-09T09:04:29.387086,2015,USA,New York,SF-BUD-G04,Flight Simulator,SIMULATION,55.25,5
2025-10-09T09:06:27.382896,3256,Canada,Quebec,WC-SH-G04,Command & Conquer,STRATEGY,54.66,5
2025-10-09T09:14:21.382178,8375,Australia,Queensland,MB-AG-G03,Call of Duty,ACTION,75.43,3
2025-10-09T09:15:47.390925,3274,Canada,Alberta,MB-AC-001,Gaming Headset,accessories,78.56,5
2025-10-09T09:16:22.387905,6616,UK,England,FS-FGA-G01,Madden NFL,SPORTS,55.67,3
2025-10-09T09:18:32.384757,7148,Japan,Tokyo,SF-BUD-G01,Grand Theft Scooter,SIMULATION,43.39,1
2025-10-09T09:18:44.382533,8941,Brazil,Rio de Janeiro,SF-BUD-G01,Grand Theft Scooter,SIMULATION,46.98,4
2025-10-09T09:22:25.388429,4337,Mexico,Nuevo León,MB-AC-002,Wireless Controller,accessories,63.66,4
2025-10-09T09:24:22.390737,5167,Germany,Berlin,FS-FGA-G02,FIFA 24,SPORTS,60.81,5
2025-10-09T09:24:53.383503,9736,South Africa,Western Cape,MB-AG-G01,Shrek Soccer,ACTION,15.35,2
2025-10-09T09:28:01.388522,8381,Australia,New South Wales,WC-SH-G03,Manganiello Bros.,STRATEGY,31.28,5
2025-10-09T09:32:40.382530,4710,Mexico,Jalisco,MB-AC-004,Gaming Mouse,accessories,53.2,2
2025-10-09T09:32:52.390329,7956,China,Shanghai,MB-AG-G01,Shrek Soccer,ACTION,16.08,1
2025-10-09T09:33:13.390456,6007,Italy,Lazio,FS-FGA-G03,NBA 2K24,SPORTS,61.58,5
2025-10-09T09:33:39.388678,6546,UK,Wales,MB-AG-G01,Shrek Soccer,ACTION,13.86,2
